Type	m	features
FPR	5k	0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 25
FPR	10k	0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 25
FPR	100k	0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25
FPR	1M	0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 25

RFE	5k	0  1  3  9 10 13 14 15 16 17 18 19
RFE	10k	0  1  2  3  8 10 14 15 16 17 18 19
RFE	100k	0  1  2  3 10 13 14 15 16 17 18 19
RFE	1M	0  1  2  3  8 10 13 14 16 17 18 19

KBest	100k	0  1  6  8  9 11 14 15 16 18 19 20
KBest	1M	0  1  6  8  9 11 14 15 16 18 19 20

Common : 0, 1, 3, 8, 11, 14, 15, 16, 18, 19
